"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiscore","coscore","weight","wreview"
"10804","US",52719127,"R1JL5N50LOE4UH","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,1,1,"Y","N","Excellent!","This is my new favorite hair dryer.  It has numerous settings so I can get the heat and air flow that I want for various sections of my hair.  The balance is good and it is not too heavy, which tends to be a problem with other hair dryers with this excellent level of air flow volume. I wish it had a retractable cord, but that would add bulk that I would probably be unhappy with!","5/11/2009",0.707106781186547,3.39826540138093,0.851591226943517,0.602165931370732
"10806","US",33872932,"R120506HETWPX8","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,0,"Y","N","good but could use a lower setting","I don't use a dryer often so this dryer works fine for me. I found it well balanced, not too heavy, not too loud, and it did dry my hair fast. The only thing I would have liked is a lower setting that doesn't blow quite so hard. I have very fine hair and even on low this dryer blows my hair all over the place. I'm not sure I would love it if I needed to use a dryer on a daily basis but for the occasional quick dry user it is fine. Another possible issue if you don't have very long arms you may find the nozzle too long with the directional attachment in place. It adds a lot of length to the end of the dryer bringing it too close to your hair which can do damage. It does have a cool setting which I did like, it takes longer to dry but it doesn't damage fine hair.","5/7/2009",0.745601135079326,2.81088086678546,0.850107139212952,0.633840847936216
"10807","US",32500930,"RAC4N9LH5ZNKC","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Excellent Hair Dryer","I am very happy with the Remington D-2012 hair dryer. The dryer has a nice heft to it and doesn't feel cheap, but isn't overly cumbersome either. It dries my hair very well, and seems to keep frizz to a minimum thanks to it's lower heat and air settings. The dryer definitely makes noise on high, but it's not as loud as most I've encountered, so for me it's a non-issue. The attachments included seem to stay put for me, I've had no problems with them falling off or coming loose while using the dryer. The switches have a solid feel to them, are well placed too, reducing the chance of accidentally changing the settings.     One difference I've noticed compared to other dryers I've used is when changing the heat settings on this dryer, the fan motor doesn't speed up or slow down any at all. With other dryers if you turn the heat up the fan sounds like it slows some, and turn the heat down the fan sounds like it speeds up a little. Perhaps that is one of the advantages of having an AC fan motor instead of a DC motor that is wired into the heating elements via a rectifier circuit in the hair dryer, less stress and voltage spikes/sags to shorten the life of the fan motor.    The only issues I could think of is the cord is not as long as I'd like it to be. Another 2 or 3 feet of length in the power cord would make a huge difference for the better.     The low heat setting on the dryer seems to be cooler than the low heat setting on all the other dryers I've used i.e. it's barely warmer than ambient air temperature. Whether that's a plus or a minus should be left up to the individual user. For me, it works better this way, so it isn't necessarily a bad thing, but I felt it worth mentioning.","5/7/2009",0.987632519528682,2.29730487632092,0.850107139212952,0.839593455770208
"10814","US",50846241,"R37VVMECHSQ66M","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Lightweight but powerful","The hair dryer is lightweight but powerful, easy to handle, and versatile in its variety of heat and fan settings. I found the large attachment for spreading the heat over the entire head especially helpful for when I wanted to dry the hair without blowing it. Blow-drying also worked well, with ample heat to get the job done. The instant cool button would be helpful to a professional, but the heat-adjustment switch is sufficient for me, a casual user. The motor is pleasantly quiet.<br /><br />The only slight quibble I have with it is that the safety feature built into the power cord makes for an extra layer of on-off; and until I learned which button was on and which was emergency off I found myself fumbling around for half a minute before I could actually turn the dryer on. (It's not intuitively obvious whether a red button should mean hot, and therefore on, or whether it is red as for a panic button to turn the device off; or whether the reset button is to reset the unit to on or to reset it to off.)","5/4/2009",0.552642962667622,3.317975901722,0.850107139212952,0.469805727999542
"10815","US",52375412,"R5ZVNQ6JX79HS","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,0,"Y","N","It dries my hair great!","This feels and acts like a commercial grade hair dryer.  The heat is sufficient and it dries my hair quickly.  I have straight medium thick hair and it usually takes longer with my other hair dryer, so this is a huge plus.  My daughter has very curly and extremely THICK hair and wants to take this dryer from me.  It works wonders on her hair and cuts her dry time in half.    We are very pleased with the Remington D-2012 dryer but if there were to be modifications in the future it would be to perhaps make it lighter and quieter.  If you want fast, salon dry hair, this is a great purchase.","5/4/2009",0.537365815093191,1.75331912858781,0.850107139212952,0.456818515779709
"10817","US",41877065,"R19KK0EMMW4V1E","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Light, quiet, fast and easy to manipulate!  Love it!","I have no complaints about this hairdryer.  It is quieter than any other dryer I have used and dries my hair quickly on the medium heat setting.  It comes with two attachments, one for curly and one for a more direct flow of air.  It's light and is easy to hold and manipulate.  Highly recommended!","5/4/2009",0.192450089729875,2.03136928788208,0.850107139212952,0.16360319522154
"10820","US",36734856,"R2ZGLD7SP61ASW","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",3,0,0,"Y","N","NOT IMPRESSED","I was not impressed with this product. The hair dryer is pretty heavy compared to some of the other ones on the market, additionally the low speed setting still blows your hair too much, making it harder to style your hair. However, it does come with a diffuser which is something that you don't normally get with a blow dryer.","5/1/2009",0.269659685815003,1.95885188366026,0.850107139212952,0.229239624069256
"10822","US",12597127,"R1RSCW8IKUWOI3","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,2,3,"Y","N","Comfortable Hair Drying","1. I was very happy with the smaller size and lighter weight of this dryer. It doesn't get heavy while using.<br />2. I really appreciate the easy reach of the temperature buttons, cool shot and on and off buttons.<br />3. It also dries hair more quickly than other dryers.<br />4. It has a nice look to it.<br />5. Lastly, this dryer is easy on the hair too.It leaves hair feeling soft and looking glossy.<br />I love it and recommend it highly.","5/1/2009",0.743430530371448,3.41395056761108,0.844764212828109,0.62802350678162
"10828","US",51712209,"R12Y2GASMGWQBQ","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,5,5,"Y","N","Like a Leaf Blower for your Head...","The Remington D-2012 is definitely a grade above the $10-$30 hair dryers you see at Target.  Whether or not it is comparable to a CHI, I don't know.  I DO know it is half the price of a CHI, and unlike Farouk (who makes the CHI), Remington will honor the warranty if you buy it on the internet.  The CHI is a solid product so not many people get bitten by the voided warranty when you buy on Amazon, but there's always that chance.<br /><br />The D-2012 has two air speeds and three heat settings.  I use middle heat + low airflow for my short guy hair.  My wife uses high heat + low or high airflow for her long thick hair.  She says it drys so fast that her hair is dry before she has finished styling it.<br /><br />The dryer has a very solid, commercial grade feel to it.  Read this to mean it's heavy compared with basic hair dryers.  I find it to be quieter than my wife's old dryer that claimed to be quiet.<br /><br />All in all this product is a winner if you are looking for a really good solid hair dryer but you don't have the coin for a CHI.  This hair dryer is likely one of the best in the sub $50 category.","4/27/2009",0.820905681923241,3.45986625055226,0.857244894488526,0.70371720468532
"10835","US",26977102,"R2E97JSVUH0L6E","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",3,0,0,"Y","N","nothing special","The weight of this item isn't any different from the others I've used. Slightly heavier than my Healthy Infusions by Wahl Pro Dryer it my opinion. Seems nothing special.<br /><br />I don't like the long nozzle. Perhaps if you have very long limbs, you wouldn't have as much trouble drying the top and top rear potions of your head.<br /><br />The wind output is pretty good, though. Comparable to my Healthy Infusions by Wahl Pro Dryer, it's about the same.<br /><br />No swivel cord. Buttons feel a bit cheap, but I guess it's a hair dryer... nothing fancy here.<br /><br />No, it's not quiet. It's as noisy as my other dryers.<br /><br />It doesn't seem to remove frizzes any better than my other dryers either.<br /><br />All in all, nothing special here. Just another dryer. I'd not pay a premium for it.","4/24/2009",0.861640436855329,1.46836589419216,0.850107139212952,0.732486686805282
"10855","US",47511647,"R1N64T6A7W1E20","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,4,4,"N","Y","Makes a big difference","This is a great hair dryer.  I blow my curly hair straight and then flat iron it smooth.  My old cheapo dryers would create a mushroom-shaped pouf on my head, which, in turn, would take forever to flat iron out.  This dryer makes my hair noticeably smoother (and much less freaky!) and cuts my time with the flat iron in half!  I did give it four stars instead of five because it is slightly on the heavy side, but not so heavy that I would return it.  I would purchase it again.  Maybe it will help me work on the muscle tone in my arms :)","3/25/2009",0.283965069531951,1.66921748140268,0.855872249243223,0.243037822766819
